subject,BART_session_1,BART_session_2,BART_session_3,GDT_session_1,GDT_session_2,GDT_session_3
01,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
02,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
03,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
04,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
05,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
06,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
07,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
08,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
09,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
10,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
11,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
12,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
13,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
14,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
15,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
16,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
17,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
18,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
19,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
20,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
21,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
22,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
23,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
24,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
25,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
26,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
27,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
28,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
29,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
30,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
31,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
32,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
33,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
34,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
35,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
36,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
37,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
38,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
39,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
40,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
41,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
42,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
43,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
44,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
45,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
46,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
47,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
48,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
49,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
50,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
51,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
52,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
53,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
54,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
55,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
56,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
57,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
58,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
59,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
60,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
61,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
62,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
63,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
64,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
65,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
66,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
67,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
68,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
69,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
70,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
71,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
72,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
73,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
74,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
75,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
76,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
77,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
78,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
79,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
80,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
81,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
82,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
83,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
84,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
85,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
86,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
87,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
88,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
89,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
90,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
91,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
92,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
93,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
94,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
95,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
96,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
97,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
98,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
99,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
100,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
101,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
102,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
103,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
104,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
105,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
106,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
107,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
108,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
109,L-GVS,R-GVS,SHAM,SHAM,R-GVS,L-GVS
110,L-GVS,SHAM,R-GVS,SHAM,R-GVS,L-GVS
111,R-GVS,L-GVS,SHAM,SHAM,L-GVS,R-GVS
112,R-GVS,SHAM,L-GVS,SHAM,L-GVS,R-GVS
113,SHAM,L-GVS,R-GVS,R-GVS,SHAM,L-GVS
114,SHAM,R-GVS,L-GVS,R-GVS,SHAM,L-GVS
115,L-GVS,R-GVS,SHAM,R-GVS,L-GVS,SHAM
116,L-GVS,SHAM,R-GVS,R-GVS,L-GVS,SHAM
117,R-GVS,L-GVS,SHAM,L-GVS,SHAM,R-GVS
118,R-GVS,SHAM,L-GVS,L-GVS,SHAM,R-GVS
119,SHAM,L-GVS,R-GVS,L-GVS,R-GVS,SHAM
120,SHAM,R-GVS,L-GVS,L-GVS,R-GVS,SHAM
