"image"	"max_pumps"	"pump_loop.thisRepN"	"pump_loop.thisTrialN"	"pump_loop.thisN"	"pump_loop.thisIndex"	"thisRow.t"	"notes"	"Welcome.started"	"text_welcome.started"	"mouse_welcome.started"	"continue_welcome.started"	"Welcome.stopped"	"mouse_welcome.x"	"mouse_welcome.y"	"mouse_welcome.leftButton"	"mouse_welcome.midButton"	"mouse_welcome.rightButton"	"mouse_welcome.time"	"Demographics.started"	"text_demographics.started"	"mouse_demographics.started"	"text_age_demographics.started"	"text_age_input.started"	"text_gender_demographics.started"	"slider_gender.started"	"continue_demographics.started"	"Demographics.stopped"	"mouse_demographics.x"	"mouse_demographics.y"	"mouse_demographics.leftButton"	"mouse_demographics.midButton"	"mouse_demographics.rightButton"	"mouse_demographics.time"	"text_age_input.text"	"slider_gender.response"	"slider_gender.rt"	"Instructions.started"	"text_instructions_center.started"	"text_right_instruction.started"	"mouse_instructions.started"	"continue_instructions.started"	"back_instructions.started"	"back_instructions.stopped"	"stim_balloon_instructions.started"	"stim_balloon_instructions.stopped"	"stim_balloon_burst_instructions.started"	"stim_balloon_burst_instructions.stopped"	"text_balloon_value_instructions.started"	"text_bank_value_instructions.started"	"marker_balloon_value.started"	"marker_balloon_value.stopped"	"marker_bank_value.started"	"marker_bank_value.stopped"	"button_balloon_instructions.started"	"button_balloon_instructions.stopped"	"Instructions.stopped"	"mouse_instructions.x"	"mouse_instructions.y"	"mouse_instructions.leftButton"	"mouse_instructions.midButton"	"mouse_instructions.rightButton"	"mouse_instructions.time"	"button_balloon_instructions.numClicks"	"button_balloon_instructions.timesOn"	"button_balloon_instructions.timesOff"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"Test_trials.started"	"stim_balloon.started"	"stim_balloon_burst.started"	"stim_balloon_burst.stopped"	"text_ballon_value.started"	"text_bank.started"	"mouse.started"	"sound_bang.started"	"sound_bang.stopped"	"button_balloon.started"	"Test_trials.stopped"	"n_pumps"	"earnings"	"popped"	"mouse.x"	"mouse.y"	"mouse.leftButton"	"mouse.midButton"	"mouse.rightButton"	"mouse.time"	"button_balloon.numClicks"	"button_balloon.timesOn"	"button_balloon.timesOff"	"Feedback.started"	"text_feedback.started"	"Feedback.stopped"	"text_feedback.stopped"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...119"
NA	NA	NA	NA	NA	NA	NA	NA	0.0431297999894014	0.0537378000008175	0.0434619000006933	0.0537378000008175	24.1725506999937	"[0.7027777777777777]"	"[-0.4046296296296296]"	"[1]"	"[0]"	"[0]"	"[24.086779000004753]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1726171999908	24.1970634999889	0.00548510000226087	24.1970634999889	24.1970634999889	24.1970634999889	24.1970634999889	24.1970634999889	35.5837147999991	"[-0.4601851851851852, 0.7462962962962963]"	"[-0.20555555555555555, -0.39351851851851855]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[10.336384099995485, 11.303090599991265]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	"Weiblich"	10.3927417000086	35.5837881999905	35.6061301000009	35.6061301000009	0.00140700000338256	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	35.6061301000009	110.4374503	"[0.7046296296296296, 0.7333333333333333, 0.7194444444444444, 0.700925925925926, 0.7407407407407407, 0.6935185185185185]"	"[-0.3824074074074074, -0.3787037037037037, -0.37407407407407406, -0.39351851851851855, -0.3972222222222222, -0.3962962962962963]"	"[1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0]"	"[7.738640899988241, 28.909424299999955, 36.81773209999665, 50.58696129999589, 66.52115149999736, 74.74433409998892]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	110.437579599995	110.444602499992	110.444602499992	0.00040160000207833	114.962200199996	"[0.737037037037037]"	"[-0.41388888888888886]"	"[1]"	"[0]"	"[0]"	"[4.523825600001146]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
"balloon.png"	96	0	0	0	3	114.994955000002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114.967887999999	114.994955000002	114.994955000002	114.994955000002	114.994955000002	114.994955000002	0.00743640000291634	0.00743640000291634	0.00743640000291634	114.994955000002	144.223666199992	15	0.75	FALSE	"[0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, -0.026851851851851852]"	"[-0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.375, -0.05555555555555555]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[2.6195833000092534, 3.7114231000014115, 5.328054800003883, 7.411530199999106, 10.045166200012318, 11.620302600000286, 13.770293800000218, 15.603760500001954, 17.003979900007835, 18.87914190000447, 21.02113079999981, 23.637798200012185, 26.49629740000819, 27.512887100005173, 28.3463383000053, 29.254855500010308]"	15	"[2.603567899990594, 3.6954158000007737, 5.312045500002569, 7.3955182999925455, 10.029153600000427, 11.604288299990003, 13.754287499992643, 15.587749199999962, 16.987963599996874, 18.863128299999516, 21.005116400003317, 23.62178689999564, 26.48028859999613, 27.496870100003434, 28.330331299992395]"	"[2.69507600000361, 3.796512899993104, 5.4619173999963095, 7.570464999997057, 10.220513799999026, 11.762340200002654, 13.904109099996276, 15.737556599997333, 17.096008399996208, 18.987791199993808, 21.129839999994147, 23.746457499990356, 26.588317499990808, 27.596733799990034, 28.413453599991044]"	144.224870899998	144.238479799998	145.730404499991	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
"balloon.png"	33	0	1	1	1	145.747033399995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.730605799996	145.747033399995	145.747033399995	145.747033399995	145.747033399995	145.747033399995	0.00699039999744854	0.00699039999744854	0.00699039999744854	145.747033399995	158.2744332	20	1	FALSE	"[0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.041666666666666664]"	"[-0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.05925925925925926]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[1.809108900008141, 2.2257019999960903, 2.7339000000065425, 3.609094200000982, 3.9590003000048455, 4.200793900003191, 4.425910899997689, 4.642555800004629, 4.867594900002587, 5.284236499996041, 5.559216499998001, 5.775770699998247, 5.967449600007967, 8.301143999997294, 8.692812900000717, 9.067804699996486, 9.634573500006809, 10.326089900001534, 10.74278260000574, 11.584509000007529, 12.542925900008413]"	20	"[1.8054071999940788, 2.2219940000068163, 2.7301955000002636, 3.605384199996479, 3.955293899998651, 4.197084600004018, 4.422200500004692, 4.638849900002242, 4.863888199994108, 5.280530499992892, 5.5555084999941755, 5.77206180000212, 5.963738499995088, 8.29743690000032, 8.689101900003152, 9.06409650000569, 9.630863600003067, 10.322375100004137, 10.739069000002928, 11.580800600000657]"	"[1.8966541999980109, 2.321807100001024, 2.830234900000505, 3.7051171000057366, 4.071779499994591, 4.296823900003801, 4.521838700005901, 4.738513599993894, 4.971854899995378, 5.388559800005169, 5.655465300005744, 5.8469169000018155, 6.030280599996331, 8.388833699995303, 8.780458299996099, 9.213831800007029, 9.755887799998163, 10.430581799999345, 10.855621199996676, 11.688979400001699]"	158.275387699992	158.281197199991	159.773188399995	159.797965199992	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
"balloon.png"	64	0	2	2	2	159.797965199992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159.773369999995	159.797965199992	159.797965199992	159.797965199992	159.797965199992	159.797965199992	-0.00072159999399445	-0.00072159999399445	-0.00072159999399445	159.797965199992	178.859181499996	40	2	FALSE	"[0.014814814814814815, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, -0.003703703703703704, 0.012962962962962963]"	"[-0.21203703703703702, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.36203703703703705, -0.1925925925925926]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.1002267000003485, 1.042134300005273, 1.3921371000033105, 1.6254946999979438, 1.8339129000087269, 2.0505379999958677, 2.258864999996149, 2.4587436000001617, 2.6754199999995762, 3.392325900000287, 3.8423548999999184, 4.308839200006332, 4.875584699999308, 5.36748549999902, 5.5591858999978285, 6.0508130000089295, 6.292371800009278, 6.509085400000913, 6.725680700008525, 6.925763799998094, 7.459067400006461, 8.175943800000823, 8.400957599995309, 8.625989799998933, 8.852240799998981, 9.817745399996056, 10.826222100004088, 11.242891000001691, 11.726255000001402, 13.067808499996318, 13.701173299996299, 14.08452099999704, 14.559696099997382, 14.943261699998402, 15.368130000002566, 15.759803100008867, 16.12648970000737, 17.059746099999757, 17.418126700009452, 17.893123200003174, 18.07658839999931, 19.08487390000664]"	40	"[1.0310655000066618, 1.3810694999992847, 1.614426900006947, 1.822845500006224, 2.0394705000071554, 2.247796499999822, 2.4476680000079796, 2.664354699998512, 3.381252700011828, 3.8312815000099363, 4.297763800001121, 4.864510300001712, 5.356419300005655, 5.548118999999133, 6.039745100002619, 6.2812975000124425, 6.498013500007801, 6.714609900009236, 6.914695400002529, 7.44799200000125, 8.164873700006865, 8.38988440000685, 8.614915800004383, 8.841301400010707, 9.80667540000286, 10.815149500005646, 11.231829500000458, 11.71518540001125, 13.056737700011581, 13.690105500005302, 14.07344780000858, 14.548622300004354, 14.932197500005714, 15.357063400006155, 15.748736800000188, 16.115419400011888, 17.048678000006475, 17.40705350000644, 17.88205630000448, 18.065540000010515]"	"[1.1390908000030322, 1.5057837000058498, 1.7224464000028092, 1.9391448000096716, 2.147498500009533, 2.3475842000043485, 2.5642522999987705, 2.772533700001077, 3.51423730001261, 3.939279500002158, 4.4059989000088535, 4.974128400004702, 5.472715000010794, 5.672766700008651, 6.14777180000965, 6.397773800010327, 6.614470700005768, 6.8227980000083335, 7.056169800009229, 7.547853100011707, 8.28956420000759, 8.539615500005311, 8.739611900004093, 8.981309800001327, 9.97302380000474, 10.973089999999502, 11.581456500003696, 11.814847800007556, 13.189912400004687, 13.80667479999829, 14.181837700001779, 14.640002800006187, 15.040029900002992, 15.45672360000026, 15.865100200011511, 16.24844930000836, 17.173501099998248, 17.523516500004916, 17.965234600007534, 18.165256100008264]"	178.8605981	178.865936899994	180.357892699991	180.3660734	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
"balloon.png"	127	0	3	3	4	180.3660734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	180.35806649999	180.3660734	180.3660734	180.3660734	180.3660734	180.3660734	0.00554100000590551	0.00554100000590551	0.00554100000590551	180.3660734	197.127280999994	37	1.85	FALSE	"[-0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, -0.03425925925925926, 0.03333333333333333]"	"[-0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, 0.2361111111111111]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[1.7506403000006685, 2.4504836999985855, 2.81733570000506, 3.068531199998688, 3.4090552999987267, 3.725704399999813, 3.984073800005717, 4.2174519000109285, 4.425642700007302, 5.425843100005295, 5.875790500009316, 6.367613000009442, 7.27582120000443, 7.542651299998397, 8.042576100007864, 8.22614290000638, 8.44277530000545, 8.83426529999997, 9.059267000004184, 9.284275199999684, 9.717658800000208, 9.94283450000512, 10.184562200010987, 10.609533499999088, 10.842738899998949, 11.309572099999059, 11.584521400000085, 11.793136100008269, 12.026278999997885, 12.24290930001007, 12.476237399998354, 13.143146100002923, 13.726422200008528, 14.151445800001966, 14.70133710000664, 15.818070799999987, 16.176576700003352, 16.76831630000379]"	37	"[1.7488073999993503, 2.448638400004711, 2.815500200013048, 3.0668464000045788, 3.4072171000007074, 3.7238626000034856, 3.982230600013281, 4.215612700005295, 4.423800800010213, 5.423999000006006, 5.873951500005205, 6.365769800002454, 7.273983900013263, 7.540808300007484, 8.040735300004599, 8.224306400006753, 8.440935400009039, 8.832421900006011, 9.057424300001003, 9.282433300002594, 9.715821000005235, 9.940994600008707, 10.18272200001229, 10.6076960000064, 10.840895200002706, 11.307730600005016, 11.582678500009933, 11.791299000004074, 12.024440600012895, 12.241071000011289, 12.474393399999826, 13.141308800011757, 13.724587900011102, 14.149603199999547, 14.699498000001768, 15.816228000010597, 16.174738100002287]"	"[1.881796800007578, 2.5735371000046143, 2.931873600013205, 3.2236665000091307, 3.573592300002929, 3.8902968000038527, 4.106938299999456, 4.3402953000040725, 4.565319200002705, 5.550138600010541, 5.990411200007657, 6.515428700004122, 7.407142100011697, 7.657179700006964, 8.132232000003569, 8.340541000012308, 8.548901700007264, 8.93225350001012, 9.157377800001996, 9.38231660000747, 9.82399410000653, 10.057339000006323, 10.290714500006288, 10.724064000009093, 10.965741700012586, 11.432449900006759, 11.690850099999807, 11.907527500006836, 12.140888000009, 12.36583690000407, 12.582520900003146, 13.274223000000347, 13.86593100000755, 14.28267160001269, 14.81603190000169, 15.949401400008355, 16.30776410001272]"	197.128557299991	197.142190300001	198.633990699993	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
"balloon.png"	1	0	4	4	0	198.650626599992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	198.634164299991	198.650626599992	198.650626599992	198.650626599992	198.650626599992	198.650626599992	0.0068524999951478	0.0068524999951478	0.0068524999951478	198.650626599992	200.044378799998	2	0.05	TRUE	"[-0.040740740740740744, -0.040740740740740744]"	"[-0.3675925925925926, -0.3675925925925926]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[0.9922094000066863, 1.300711300005787]"	2	"[0.9824019999941811, 1.290908800001489]"	"[1.0489146999898367, 1.3906450999929802]"	200.044977999991	200.059063299996	201.550884799988	NA	NA	NA	NA	NA	NA	NA	NA	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201.550921499991	201.559164599996	201.559164599996	207.093291699988	"space"	5.53219379999791	"None"	14	"01"	"2024-02-07_15h07.58.148"	"BART_trial"	"2023.2.3"	119.945640633669	"2024-02-07 15h08.35.776586 +0100"	NA
