subject,age,gender,session_GDT,stimulation_GDT,safest,safe,risky,riskiest,score,complete_GDT_data,GDT_master_exclusions
01,19,Weiblich,01,SHAM,14,2,1,1,-14,include,include
01,19,Weiblich,02,R-GVS,15,1,2,NA,-14,include,include
01,19,Weiblich,03,L-GVS,14,3,1,NA,-16,include,include
02,24,Weiblich,01,SHAM,9,7,2,NA,-14,include,include
02,24,Weiblich,02,R-GVS,5,11,2,NA,-14,include,include
02,24,Weiblich,03,L-GVS,13,4,1,NA,-16,include,include
03,24,Weiblich,01,SHAM,15,2,NA,1,-16,include,include
03,24,Weiblich,02,L-GVS,17,1,NA,NA,-18,include,include
03,24,Weiblich,03,R-GVS,14,4,NA,NA,-18,include,include
04,21,Weiblich,01,SHAM,5,10,2,1,-12,include,include
04,21,Weiblich,02,L-GVS,8,8,1,1,-14,include,include
04,21,Weiblich,03,R-GVS,13,5,NA,NA,-18,include,include
05,24,Weiblich,01,R-GVS,6,11,1,NA,-16,include,include
05,24,Weiblich,02,SHAM,11,6,1,NA,-16,include,include
05,24,Weiblich,03,L-GVS,6,10,2,NA,-14,include,include
06,21,Weiblich,01,R-GVS,NA,18,NA,NA,-18,include,include
06,21,Weiblich,02,SHAM,18,NA,NA,NA,-18,include,include
06,21,Weiblich,03,L-GVS,18,NA,NA,NA,-18,include,include
07,29,Weiblich,01,R-GVS,NA,7,9,2,4,include,include
07,29,Weiblich,02,L-GVS,NA,3,8,7,12,include,include
07,29,Weiblich,03,SHAM,NA,15,3,NA,-12,include,include
08,23,Männlich,01,R-GVS,10,8,NA,NA,-18,include,include
08,23,Männlich,02,L-GVS,18,NA,NA,NA,-18,include,include
08,23,Männlich,03,SHAM,14,1,3,NA,-12,include,include
09,21,Weiblich,01,L-GVS,10,3,5,NA,-8,include,include
09,21,Weiblich,02,SHAM,4,7,5,2,-4,include,include
09,21,Weiblich,03,R-GVS,6,6,6,NA,-6,include,include
10,24,Weiblich,01,L-GVS,11,7,NA,NA,-18,include,include
10,24,Weiblich,02,SHAM,10,6,2,NA,-14,include,include
10,24,Weiblich,03,R-GVS,8,5,4,1,-8,include,include
11,21,Weiblich,01,L-GVS,6,8,4,NA,-10,include,include
11,21,Weiblich,02,R-GVS,8,6,4,NA,-10,include,include
11,21,Weiblich,03,SHAM,5,6,7,NA,-4,include,include
12,19,Weiblich,01,L-GVS,7,9,2,NA,-14,include,include
12,19,Weiblich,02,R-GVS,2,13,3,NA,-12,include,include
12,19,Weiblich,03,SHAM,3,10,5,NA,-8,include,include
13,24,Weiblich,01,SHAM,11,4,3,NA,-12,include,include
13,24,Weiblich,02,R-GVS,10,6,2,NA,-14,include,include
13,24,Weiblich,03,L-GVS,14,3,NA,1,-16,include,include
14,25,Weiblich,01,SHAM,2,15,1,NA,-16,include,include
14,25,Weiblich,02,R-GVS,11,6,NA,1,-16,include,include
14,25,Weiblich,03,L-GVS,9,7,2,NA,-14,include,include
15,22,Männlich,01,SHAM,4,5,9,NA,0,include,include
15,22,Männlich,02,L-GVS,3,12,3,NA,-12,include,include
15,22,Männlich,03,R-GVS,7,10,1,NA,-16,include,include
16,22,Weiblich,01,SHAM,6,7,5,NA,-8,include,include
16,22,Weiblich,02,L-GVS,8,8,2,NA,-14,include,include
16,22,Weiblich,03,R-GVS,9,7,2,NA,-14,include,include
17,20,Weiblich,01,R-GVS,NA,7,11,NA,4,include,include
17,20,Weiblich,02,SHAM,NA,8,10,NA,2,include,include
17,20,Weiblich,03,L-GVS,4,10,4,NA,-10,include,include
18,23,Weiblich,01,R-GVS,11,3,3,1,-10,include,include
18,23,Weiblich,02,SHAM,16,2,NA,NA,-18,include,include
18,23,Weiblich,03,L-GVS,18,NA,NA,NA,-18,include,include
19,25,Männlich,01,R-GVS,NA,17,1,NA,-16,include,include
19,25,Männlich,02,L-GVS,NA,7,4,7,4,include,include
19,25,Männlich,03,SHAM,NA,16,NA,2,-14,include,include
20,23,Weiblich,01,R-GVS,11,6,1,NA,-16,include,include
20,23,Weiblich,02,L-GVS,13,5,NA,NA,-18,include,include
20,23,Weiblich,03,SHAM,17,1,NA,NA,-18,include,include
21,23,Weiblich,01,L-GVS,3,10,5,NA,-8,include,include
21,23,Weiblich,02,SHAM,6,6,4,2,-6,include,include
21,23,Weiblich,03,R-GVS,11,5,2,NA,-14,include,include
22,21,Weiblich,01,L-GVS,4,6,7,1,-2,include,include
22,21,Weiblich,02,SHAM,5,5,8,NA,-2,include,include
22,21,Weiblich,03,R-GVS,5,6,7,NA,-4,include,include
23,21,Weiblich,01,L-GVS,5,10,2,1,-12,include,include
23,21,Weiblich,02,R-GVS,11,7,NA,NA,-18,include,include
23,21,Weiblich,03,SHAM,2,15,1,NA,-16,include,include
24,21,Weiblich,01,L-GVS,5,8,4,1,-8,include,include
24,21,Weiblich,02,R-GVS,11,6,1,NA,-16,include,include
24,21,Weiblich,03,SHAM,10,7,1,NA,-16,include,include
25,25,Männlich,01,SHAM,6,7,5,NA,-8,include,include
25,25,Männlich,02,R-GVS,5,8,3,2,-8,include,include
25,25,Männlich,03,L-GVS,6,3,4,5,0,include,include
