image	max_pumps	pump_loop.thisRepN	pump_loop.thisTrialN	pump_loop.thisN	pump_loop.thisIndex	thisRow.t	notes	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	trials.started	stim_balloon.started	stim_balloon_burst.started	stim_balloon_burst.stopped	text_ballon_value.started	text_bank.started	mouse.started	sound_bang.started	sound_bang.stopped	button_balloon.started	trials.stopped	n_pumps	earnings	popped	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	button_balloon.numClicks	button_balloon.timesOn	button_balloon.timesOff	Feedback.started	text_feedback.started	text_feedback.stopped	Feedback.stopped	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.001043400000071415	0.005362599999898521	0.005362599999898521	0.0013281000001370558	49.818087300000116	[0.6574074074074074]	[-0.3731481481481482]	[1]	[0]	[0]	[49.81611329999987]																																			30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	71	0	0	0	16	49.890456300000096													49.82488939999985	49.890456300000096	49.890456300000096	49.890456300000096	49.890456300000096	49.890456300000096	0.00860899999997855	0.00860899999997855	0.00860899999997855	49.890456300000096	54.277668000000176	8	0.40	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[2.53508630000033, 2.793672200000401, 3.01819820000037, 3.260609899999963, 3.4774241000000075, 3.7017714000003252, 3.943840600000385, 4.177072299999963, 4.45174870000028]"	9	"[2.4751986999999644, 2.73376670000016, 2.958288100000118, 3.2007449000002453, 3.417590200000177, 3.6418782999999166, 3.883989500000098, 4.117281199999979, 4.391790499999843]"	"[2.6169009000000187, 2.841509500000029, 3.067084199999954, 3.291580900000099, 3.5249312000000828, 3.758296900000005, 3.9834154999998646, 4.250304700000015, 4.39179490000015]"	54.27891219999992	54.28923780000014	55.78995159999977	55.77637219999997								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	49	0	1	1	11	55.78995159999977													55.776591199999984	55.78995159999977	55.78995159999977	55.78995159999977	55.78995159999977	55.78995159999977	-0.0007907000003797293	-0.0007907000003797293	-0.0007907000003797293	55.78995159999977	58.711569300000065	12	0.60	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.36725780000006125, 0.5752096999999594, 0.8003166000003148, 1.0087051000000429, 1.2083618999999999, 1.40858900000012, 1.602078100000199, 1.8086557999999968, 1.9921967000000222, 2.2087639999999737, 2.4087180999999873, 2.592165500000192, 2.9338729999999487]"	13	"[0.3591701999998804, 0.5671236000002864, 0.7922351000001981, 1.0006241999999475, 1.2002682000002096, 1.4005190000002585, 1.5940180000002329, 1.800566400000207, 1.9841292000000976, 2.2006790999998884, 2.4006397000002835, 2.5840846000000965, 2.925732700000026]"	"[0.4419370999999046, 0.6834598000000369, 0.900216300000011, 1.1169294999999693, 1.2920320000002903, 1.5001956000000973, 1.7002010000001064, 1.9254334000002018, 2.1336968000000525, 2.3254007000000456, 2.517043300000296, 2.717005800000152, 2.9257369000001745]"	58.71242519999987	58.717712799999845	60.20949419999988	60.20169699999997								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	88	0	2	2	20	60.20949419999988													60.201907799999844	60.20949419999988	60.20949419999988	60.20949419999988	60.20949419999988	60.20949419999988	0.005437599999822851	0.005437599999822851	0.005437599999822851	60.20949419999988	62.4198964000002	9	0.45	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.3020883000003778, 0.49185250000027736, 0.7254548000000796, 0.9257446999999956, 1.1588963000003787, 1.3656676000000516, 1.5669603000001189, 1.766922600000271, 2.0000841000000946, 2.216818500000045]"	10	"[0.29987130000017714, 0.48961940000026516, 0.723237700000027, 0.9235290000001442, 1.156667600000219, 1.3635844000000361, 1.564716800000042, 1.7646724000001086, 1.9978363000000172, 2.214501100000234]"	"[0.40613759999996546, 0.631047800000033, 0.8396371000003455, 1.072984400000223, 1.2731226000000788, 1.4731908000003386, 1.6732605000001968, 1.8732053000003361, 2.0811686000001828, 2.214505299999928]"	62.42076709999992	62.42636080000011	63.918756799999755	63.910129999999754								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	127	0	3	3	29	63.918756799999755													63.910332299999936	63.918756799999755	63.918756799999755	63.918756799999755	63.918756799999755	63.918756799999755	0.0056488999998691725	0.0056488999998691725	0.0056488999998691725	63.918756799999755	68.57849690000012	16	0.80	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.31676530000004277, 0.5168999000002259, 0.7334976000001916, 1.1419308000004094, 1.3752808000003824, 1.600339200000235, 1.8004291000002013, 2.0088777000000846, 2.19223060000013, 2.3754092000003766, 2.5922858000003544, 2.766948599999978, 2.9754441000000043, 3.1754118000003473, 3.3839195000000473, 3.558831199999986, 4.667090200000075]"	17	"[0.31361010000000533, 0.5137254999999641, 0.7303271999999197, 1.1387610000001587, 1.3721052999999301, 1.5971800000002077, 1.7972564000001512, 2.0057221000001846, 2.189096200000222, 2.372232499999882, 2.589128200000232, 2.7637785000001713, 2.9722842000001037, 3.1722367000002123, 3.3807511999998496, 3.5556507999999667, 4.663864699999976]"	"[0.43008689999987837, 0.6554141999999956, 0.8553204999998343, 1.230234399999972, 1.4802334999999402, 1.6637040000000525, 1.888811899999837, 2.105495400000109, 2.272224499999993, 2.488829899999928, 2.6888128999999026, 2.8888191000000916, 3.063736600000084, 3.2637602999998307, 3.4804033999998865, 3.663783500000136, 4.663869200000136]"	68.57945590000008	68.58510369999976	70.0768920999999	70.06914710000001								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	40	0	4	4	9	70.0768920999999													70.06935999999996	70.0768920999999	70.0768920999999	70.0768920999999	70.0768920999999	70.0768920999999	0.00576500000033775	0.00576500000033775	0.00576500000033775	70.0768920999999	74.17104590000008	13	0.65	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.550311899999997, 1.0008456000000479, 1.2604180000002998, 1.4837882000001628, 1.7249879000000874, 1.958332000000155, 2.217056599999978, 2.4503130000002784, 2.7418228999999883, 2.9751336000003903, 3.2255043000000114, 3.4502873999999792, 3.666915700000118, 4.100294600000325]"	14	"[0.5480630000001838, 0.998627999999826, 1.258176100000128, 1.4815844999998262, 1.7227344000002631, 1.956076899999971, 2.214819599999828, 2.44817809999995, 2.739574900000207, 2.9728871000002073, 3.2232865000000857, 3.448040100000071, 3.6646703000001253, 4.098072499999944]"	"[0.7148504000001594, 1.105986699999903, 1.3393086000000949, 1.5893277999998645, 1.8147569000002477, 2.0645598000000973, 2.3226847000000816, 2.572718800000075, 2.87278090000018, 3.114362700000129, 3.347726899999998, 3.572796400000243, 3.7977500000001783, 4.098081600000114]"	74.1722264	74.17713430000003	75.67231750000019	75.66105779999998								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	5	0	5	5	1	75.67231750000019													75.66127289999986	75.67231750000019	75.67231750000019	75.67231750000019	75.67231750000019	75.67231750000019	0.00016330000016751	0.00016330000016751	0.00016330000016751	75.67231750000019	77.17969119999998	6	0.25	True	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0]"	"[0.2919468999998571, 0.5085954999999558, 0.7417661999998018, 0.9668406999999206, 1.1835495000000265, 1.400377699999808]"	6	"[0.28659650000008696, 0.5032313000001523, 0.7364010000001144, 0.9614925999999286, 1.1781925999998748, 1.3950334000001021]"	"[0.41961700000001656, 0.619732600000134, 0.8280328999999256, 1.0530484999999317, 1.269710699999905, 1.5030423000002884]"	77.18043720000014	77.18733370000018	78.68970869999976	78.67801469999995								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	75	0	6	6	17	78.68970869999976													78.6782404999999	78.68970869999976	78.68970869999976	78.68970869999976	78.68970869999976	78.68970869999976	-0.0007132000000638072	-0.0007132000000638072	-0.0007132000000638072	78.68970869999976	81.77121369999986	10	0.50	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.7503355000003467, 0.967152900000201, 1.183778600000096, 1.3918734000003496, 1.6175093000001652, 1.8838587000000189, 2.125071100000241, 2.35038940000004, 2.5835548000000017, 2.7920038000002023, 3.091923500000121]"	11	"[0.7440195000003769, 0.9608253999999761, 1.1774574999999459, 1.3855431000001772, 1.61123600000019, 1.8775726000003488, 2.118740500000058, 2.3441758000003574, 2.57728010000028, 2.7856979000002866, 3.085530700000163]"	"[0.868585400000029, 1.0953410000001895, 1.2941946000000826, 1.5200518999999986, 1.76076970000031, 1.9853325000003679, 2.2272210999999515, 2.4520339000000604, 2.67703500000016, 2.895796100000098, 3.085534700000153]"	81.77208860000019	81.77762059999986	83.27226870000004	83.26322149999987								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	14	0	7	7	3	83.27226870000004													83.26348969999981	83.27226870000004	83.27226870000004	83.27226870000004	83.27226870000004	83.27226870000004	0.0002507000003788562	0.0002507000003788562	0.0002507000003788562	83.27226870000004	86.80507810000017	13	0.65	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.3813062999997783, 0.6066695999998046, 0.8649171000001843, 1.098171000000093, 1.3398965999999746, 1.573250299999927, 1.8068084999999883, 2.039947299999767, 2.2650244999999813, 2.4817219000001387, 2.71488219999992, 2.964881200000036, 3.1734388999998373, 3.5401695000000473]"	14	"[0.3783061999997699, 0.6036874000001262, 0.8619227999997747, 1.0951694999998836, 1.3369222999999693, 1.5702759000000697, 1.803837299999941, 2.0369540000001507, 2.2620240000001104, 2.4787278999997397, 2.7118775999997524, 2.961875500000133, 3.1704383999999664, 3.5371217000001707]"	"[0.5115857999999207, 0.7534061999999722, 0.970079799999894, 1.194919999999911, 1.4367898999998943, 1.6783393999999134, 1.9117000999999618, 2.1535069000001386, 2.370164500000101, 2.6035397000000557, 2.820227000000159, 3.0617999999999483, 3.2715453000000707, 3.5371258999998645]"	86.80597129999978	86.8113202999998	88.30460809999977	88.29525329999979								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
balloon.png	36	0	8	8	8	88.30460809999977													88.29548979999981	88.30460809999977	88.30460809999977	88.30460809999977	88.30460809999977	88.30460809999977	0.014232600000013917	0.014232600000013917	0.014232600000013917	88.30460809999977	91.3745213000002	13	0.65	False	"[-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445]"	"[-0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407, -0.3907407407407407]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.12543259999984002, 0.3422946000000593, 0.566929699999946, 0.7836275999998179, 0.992339400000219, 1.2089486999998371, 1.4089798999998493, 1.6337054000000535, 1.8585542000000714, 2.075157499999932, 2.2502220999999736, 2.4584814999998343, 2.6502246999998533, 3.0778762999998435]"	14	"[0.12312960000008388, 0.33999020000010205, 0.5646354000000429, 0.781332300000031, 0.9900746000002982, 1.2066827000003286, 1.4067407000002277, 1.6314067000002979, 1.8563054000001102, 2.072889600000053, 2.24791630000027, 2.4562158000003365, 2.6479293000002144, 3.075541200000316]"	"[0.2643009000003076, 0.48098250000020926, 0.6810052000000724, 0.8976728000002367, 1.1063170000002174, 1.3310481000003165, 1.5395478000000367, 1.739819300000363, 1.95646540000007, 2.1644562999999835, 2.3727508000001762, 2.564504500000112, 2.7646363000003475, 3.075546700000359]"	91.37542450000001	91.37833	92.8717101000002	92.86401449999994								30	03	2024-02-21_09h27.11.258	BART_exp	2023.2.3	122.2490898553933	2024-02-21 09h27.22.371569 +0100	
